theta,omega,alpha,theta_next,omega_next,trajectory_id,split
-0.7660730708662351,0.7278820946667209,7.335257445410352,-0.7584284371420771,0.8009471567718575,0,train
-0.7584284371420771,0.8009471567718575,7.276758434627476,-0.7500561783846367,0.8733970089975287,0,train
-0.7500561783846367,0.8733970089975287,7.212203624928222,-0.7409627507622785,0.9451707084182706,0,train
-0.7409627507622785,0.9451707084182706,7.141515596707086,-0.7311552237849038,1.0162065259986335,0,train
-0.7311552237849038,1.0162065259986335,7.064614737267038,-0.720641288255594,1.0864419304268667,0,train
-0.720641288255594,1.0864419304268667,6.9814204062808285,-0.7094292643243936,1.1558135839754575,0,train
-0.7094292643243936,1.1558135839754575,6.8918521746498795,-0.6975281095204012,1.2242573510903099,0,train
-0.6975281095204012,1.2242573510903099,6.795831130173081,-0.6849474266316639,1.2917083203399455,0,train
-0.6849474266316639,1.2917083203399455,6.693281242525155,-0.6716974712964433,1.3581008402763546,0,train
-0.6716974712964433,1.3581008402763546,6.584130779087816,-0.6577891591643505,1.4233685696696339,0,train
-0.6577891591643505,1.4233685696696339,6.468313762189074,-0.6432340724817097,1.4874445424790943,0,train
-0.6432340724817097,1.4874445424790943,6.345771457302931,-0.6280444659524247,1.5502612478140192,0,train
-0.6280444659524247,1.5502612478140192,6.21645388076101,-0.6122332717236798,1.6117507250178593,0,train
-0.6122332717236798,1.6117507250178593,6.080321314550408,-0.5958141033451053,1.6718446738806796,0,train
-0.5958141033451053,1.6718446738806796,5.937345814841117,-0.578801258550672,1.7304745798467405,0,train
-0.578801258550672,1.7304745798467405,5.787512700026677,-0.5612097207146342,1.7875718539380197,0,train
-0.5612097207146342,1.7875718539380197,5.630822003299775,-0.5430551588363934,1.8430679869613995,0,train
-0.5430551588363934,1.8430679869613995,5.467289874147498,-0.5243539259142679,1.8968947174085233,0,train
-0.5243539259142679,1.8968947174085233,5.2969499126666895,-0.5051230555748709,1.9489842122946444,0,train
-0.5051230555748709,1.9489842122946444,5.119854420295529,-0.485380256833164,1.9992692600180733,0,train
-0.485380256833164,1.9992692600180733,4.936075550458691,-0.46514390686825735,2.0476834741572536,0,train
-0.46514390686825735,2.0476834741572536,4.745706342754687,-0.4444330417116723,2.0941615069604724,0,train
-0.4444330417116723,2.0941615069604724,4.548861624695324,-0.4232673447580215,2.138639271126322,0,train
-0.4232673447580215,2.138639271126322,4.345678765656109,-0.40166713302283386,2.181054168324021,0,train
-0.40166713302283386,2.181054168324021,4.136318268624391,-0.379653341088461,2.221345322764406,0,train
-0.379653341088461,2.221345322764406,3.9209641865459535,-0.35724750269653155,2.2594538180076618,0,train
-0.35724750269653155,2.2594538180076618,3.699824351570165,-0.334471729964114,2.2953229350855366,0,train
-0.334471729964114,2.2953229350855366,3.4731304072721074,-0.3113486902204348,2.328898389926573,0,train
-0.3113486902204348,2.328898389926573,3.2411376359728243,-0.28790158048147074,2.3601285680053294,0,train
-0.28790158048147074,2.3601285680053294,3.0041245755640626,-0.2641540996007624,2.388964754092978,0,train
-0.2641540996007624,2.388964754092978,2.7623924227423426,-0.24013041815613345,2.4153613549689488,0,train
-0.24013041815613345,2.4153613549689488,2.516264222232015,-0.21585514615337786,2.439276112963053,0,train
-0.21585514615337786,2.439276112963053,2.2660838443849634,-0.19135329864911582,2.4606703082358083,0,train
-0.19135329864911582,2.4606703082358083,2.0122147564362782,-0.16665025941562886,2.4795089477720955,0,train
-0.16665025941562886,2.4795089477720955,1.755038595616846,-0.14177174279027505,2.49576093915982,0,train
-0.14177174279027505,2.49576093915982,1.4949535552173343,-0.11674375387076624,2.509399247350317,0,train
-0.11674375387076624,2.509399247350317,1.2323725975043838,-0.09159254723488212,2.520401032749718,0,train
-0.09159254723488212,2.520401032749718,0.967721510048594,-0.06634458437883309,2.528747769168548,0,train
-0.06634458437883309,2.528747769168548,0.7014368244768151,-0.04102649008222365,2.53442534035815,0,train
-0.04102649008222365,2.53442534035815,0.43396361885263135,-0.015665007919188585,2.5374241140842724,0,train
-0.015665007919188585,2.5374241140842724,0.16575322676831725,0.009713044855410167,2.537738992926906,0,train
0.009713044855410167,2.537738992926906,-0.10273912224535672,0.03508082280897973,2.535369441247524,0,train
0.03508082280897973,2.535369441247524,-0.3710567052544919,0.06041149798335149,2.5303194880261723,0,train
0.06041149798335149,2.5303194880261723,-0.6387437249547789,0.08567830545441457,2.5225977055370623,0,train
0.08567830545441457,2.5225977055370623,-0.9053477184798409,0.11085458855856817,2.51221716409807,0,train
0.11085458855856817,2.51221716409807,-1.1704219294332012,0.1359138435490071,2.4991953633923703,0,train
0.1359138435490071,2.4991953633923703,-1.4335276172011038,0.16082976345111835,2.483554141115042,0,train
0.16082976345111835,2.483554141115042,-1.6942362786373406,0.18557628089501818,2.4653195599397106,0,train
0.18557628089501818,2.4653195599397106,-1.9521317586449662,0.21012760971435515,2.4445217740263354,0,train
0.21012760971435515,2.4445217740263354,-2.2068122279790683,0.23445828511376504,2.4211948764976396,0,train
